"filename", "language", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\calendar.css", "PostCSS", 0, 0, 164, 3, 25, 192
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\calendar.js", "JavaScript", 138, 0, 0, 7, 35, 180
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\editjournal.css", "PostCSS", 0, 0, 175, 0, 26, 201
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\editjournal.js", "JavaScript", 14, 0, 0, 0, 1, 15
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\firstpagestyles.css", "PostCSS", 0, 0, 44, 1, 6, 51
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\home.css", "PostCSS", 0, 0, 116, 1, 13, 130
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\home_icon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\loadThemes.js", "JavaScript", 11, 0, 0, 0, 2, 13
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\loginpagestyles.css", "PostCSS", 0, 0, 176, 4, 31, 211
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\logo.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\mainstyles.css", "PostCSS", 0, 0, 197, 2, 33, 232
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\page.css", "PostCSS", 0, 0, 217, 11, 48, 276
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\page.js", "JavaScript", 99, 0, 0, 7, 34, 140
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\themes.css", "PostCSS", 0, 0, 152, 2, 20, 174
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\themes.js", "JavaScript", 86, 0, 0, 0, 22, 108
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\userhome.css", "PostCSS", 0, 0, 124, 0, 15, 139
"Total", "-", 348, 4, 1365, 38, 312, 2067
