"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\calendar.html", "HTML", 70, 5, 11, 86
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\editjournal.html", "HTML", 70, 7, 10, 87
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\firstpage.html", "HTML", 18, 2, 6, 26
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\home.html", "HTML", 48, 0, 7, 55
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\page.html", "HTML", 55, 7, 11, 73
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\register.html", "HTML", 39, 2, 10, 51
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\registration\login.html", "HTML", 33, 3, 10, 46
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\themes.html", "HTML", 112, 9, 15, 136
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\userhome.html", "HTML", 45, 3, 10, 58
"Total", "-", 490, 38, 90, 618
