"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\admin.py", "Python", 8, 0, 1, 1, 10
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\apps.py", "Python", 3, 0, 0, 3, 6
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\models.py", "Python", 33, 0, 1, 6, 40
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\urls.py", "Python", 21, 0, 0, 1, 22
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\views.py", "Python", 240, 0, 6, 77, 323
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\calendar.html", "HTML", 0, -70, -5, -11, -86
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\editjournal.html", "HTML", 0, -70, -7, -10, -87
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\firstpage.html", "HTML", 0, -18, -2, -6, -26
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\home.html", "HTML", 0, -48, 0, -7, -55
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\page.html", "HTML", 0, -55, -7, -11, -73
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\register.html", "HTML", 0, -39, -2, -10, -51
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\registration\login.html", "HTML", 0, -33, -3, -10, -46
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\themes.html", "HTML", 0, -112, -9, -15, -136
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\templates\userhome.html", "HTML", 0, -45, -3, -10, -58
"Total", "-", 306, -490, -29, 1, -212
