"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\__init__.py", "Python", 0, 0, -1, -1
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\admin.py", "Python", -8, -1, -1, -10
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\apps.py", "Python", -3, 0, -3, -6
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\models.py", "Python", -33, -1, -6, -40
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\tests.py", "Python", -1, -1, -2, -4
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\urls.py", "Python", -21, 0, -1, -22
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlanApp\views.py", "Python", -240, -6, -77, -323
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlan\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlan\asgi.py", "Python", 4, 8, 5, 17
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlan\settings.py", "Python", 68, 25, 29, 122
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlan\urls.py", "Python", 7, 16, 3, 26
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\ClearPlan\wsgi.py", "Python", 4, 8, 5, 17
"Total", "-", -223, 48, -48, -223
