"filename", "language", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\calendar.css", "PostCSS", 0, 167, 0, 3, 24, 194
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\calendar.js", "JavaScript", 141, 0, 0, 7, 37, 185
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\editjournal.css", "PostCSS", 0, 175, 0, 0, 26, 201
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\editjournal.js", "JavaScript", 14, 0, 0, 0, 1, 15
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\firstpagestyles.css", "PostCSS", 0, 44, 0, 1, 6, 51
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\home.css", "PostCSS", 0, 116, 0, 1, 13, 130
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\home_icon.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\loadThemes.js", "JavaScript", 11, 0, 0, 0, 2, 13
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\loginpagestyles.css", "PostCSS", 0, 176, 0, 4, 31, 211
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\mainstyles.css", "PostCSS", 0, 199, 0, 2, 33, 234
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\page.css", "PostCSS", 0, 240, 0, 12, 50, 302
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\page.js", "JavaScript", 164, 0, 0, 10, 53, 227
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\themes.css", "PostCSS", 0, 152, 0, 2, 20, 174
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\themes.js", "JavaScript", 86, 0, 0, 0, 22, 108
"c:\Users\IrisDonVolt\MyProjects\ClearPlan\static\userhome.css", "PostCSS", 0, 124, 0, 0, 15, 139
"Total", "-", 416, 1393, 4, 42, 334, 2189
